[[630.0, 0.0], [0.0, 630.0]] [[630.0, 0.0], [0.0, 630.0]] 0.0 0.0
[[0.0, 630.0], [131.0, 193.0]] [[0.0, 630.0], [134.0, 194.0]] 1.58040761836 721.001978797
[[630.0, 0.0], [131.0, 193.0]] [[630.0, 0.0], [134.0, 194.0]] 2.01946832446 1801.46471519
[[0.0, 630.0], [630.0, 0.0]] [[0.0, 630.0], [630.0, 0.0]] 0.0 1801.46471519
[[630.0, 0.0], [-630.0, -630.0]] [[630.0, 0.0], [-630.0, -630.0]] 0.0 1801.46471519
[[0.0, 630.0], [-630.0, -630.0]] [[0.0, 630.0], [-630.0, -630.0]] 0.0 1801.46471519
[[-630.0, -630.0], [28.0, 120.0]] [[-630.0, -630.0], [24.0, 138.0]] 7.47363118448 9258.12643891
[[0.0, 630.0], [28.0, 120.0]] [[0.0, 630.0], [24.0, 138.0]] 17.9153842903 18408.7323221
[[-630.0, -630.0], [630.0, 0.0]] [[-630.0, -630.0], [630.0, 0.0]] 0.0 18408.7323221
[[630.0, 0.0], [154.0, 53.0]] [[630.0, 0.0], [157.0, 53.0]] 0.333021844288 18568.2303175
[[-630.0, -630.0], [154.0, 53.0]] [[-630.0, -630.0], [157.0, 53.0]] 0.999179034026 19607.1579195
[[-630.0, -630.0], [58.0, 49.0]] [[-630.0, -630.0], [56.0, 48.0]] 0.352098145052 19947.5086335
[[58.0, 49.0], [43.0, 50.0]] [[56.0, 48.0], [41.0, 49.0]] 1.9836393739997797 19977.3292721
[[-630.0, -630.0], [43.0, 50.0]] [[-630.0, -630.0], [41.0, 49.0]] 0.364732930853 20326.2795814
[[58.0, 49.0], [-630.0, -630.0]] [[56.0, 48.0], [-630.0, -630.0]] 0.352098145052 20666.6302954
[[-630.0, -630.0], [140.0, 52.0]] [[-630.0, -630.0], [141.0, 52.0]] 0.336891149414 21013.1575208
[[58.0, 49.0], [140.0, 52.0]] [[56.0, 48.0], [141.0, 52.0]] 1.04439351426 21098.8550841
[[-630.0, -630.0], [26.0, 98.0]] [[-630.0, -630.0], [20.0, 94.0]] 0.905282711485 21985.9951903
[[26.0, 98.0], [28.0, 120.0]] [[20.0, 94.0], [22.0, 116.0]] 6.130712984898255 22121.4270667
[[26.0, 98.0], [-630.0, -630.0]] [[-630.0, -630.0], [22.0, 116.0]] 7.55359713247 29523.64394
[[-630.0, -630.0], [25.0, 77.0]] [[20.0, 94.0], [-630.0, -630.0]] 7.67048626588 36916.3135962
[[26.0, 98.0], [25.0, 77.0]] [[-630.0, -630.0], [20.0, 71.0]] 26.3869469059 37471.0673861
[[25.0, 77.0], [-630.0, -630.0]] [[20.0, 94.0], [20.0, 71.0]] 128.278119434 161103.09386
[[-630.0, -630.0], [33.0, 61.0]] [[20.0, 71.0], [-630.0, -630.0]] 8.07512723874 168836.055962
[[25.0, 77.0], [33.0, 61.0]] [[-630.0, -630.0], [29.0, 59.0]] 16.3146173871 169127.90071
[[96.0, 157.0], [87.0, 157.0]] [[20.0, 71.0], [29.0, 59.0]] 109.139178787 170110.153319
[[87.0, 157.0], [87.0, 156.0]] [[67.0, 171.0], [85.0, 152.0]] 7.35526994261 170117.508589
[[96.0, 157.0], [87.0, 156.0]] [[85.0, 152.0], [84.0, 169.0]] 8.80274234306 170197.220811
[[87.0, 157.0], [96.0, 157.0]] [[67.0, 171.0], [84.0, 169.0]] 15.6201412668 170337.802082
[[96.0, 157.0], [96.0, 159.0]] [[85.0, 152.0], [67.0, 171.0]] 20.5922517806 170378.986586
[[87.0, 157.0], [96.0, 159.0]] [[67.0, 171.0], [68.0, 145.0]] 24.3606426481 170603.580614
[[25.0, 77.0], [48.0, 79.0]] [[85.0, 152.0], [68.0, 145.0]] 69.6187733966 172210.854808
[[26.0, 98.0], [48.0, 79.0]] [[22.0, 116.0], [24.0, 138.0]] 38.5187806541 173330.552763
[[82.0, 127.0], [88.0, 147.0]] [[20.0, 71.0], [45.0, 78.0]] 68.6371201418 174763.737907
[[88.0, 147.0], [77.0, 150.0]] [[20.0, 94.0], [45.0, 78.0]] 73.8537583362 175605.80031
[[82.0, 127.0], [77.0, 150.0]] [[78.0, 129.0], [68.0, 145.0]] 8.01397129296 175794.426792
[[88.0, 147.0], [82.0, 127.0]] [[68.0, 145.0], [55.0, 150.0]] 11.3791892437 176032.031239
[[82.0, 127.0], [91.0, 129.0]] [[78.0, 129.0], [55.0, 150.0]] 22.0088726927 176234.94302
[[88.0, 147.0], [91.0, 129.0]] [[68.0, 145.0], [78.0, 129.0]] 14.7852315741 176504.748177
[[28.0, 120.0], [32.0, 140.0]] [[78.0, 129.0], [85.0, 144.0]] 49.318874182 177510.659785
[[0.0, 630.0], [32.0, 140.0]] [[68.0, 145.0], [85.0, 144.0]] 471.120294313 408851.352876
[[28.0, 120.0], [26.0, 98.0]] [[22.0, 116.0], [20.0, 94.0]] 6.130712984898255 408986.784753
